epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,2060.8,0.73578,4.95829,0.37736,0.53523,1.21552,0.95665,0.97177,0.98173,0.8447,0.80536,0.79448,0.74399,0.24491,0.58661,3.60062,0.40505,0.3705,1.16186,0.006436,0.006436,0.006436
38,2106.59,0.72863,4.93085,0.37542,0.53343,1.21422,0.95836,0.97475,0.9819,0.85199,0.81578,0.79213,0.7736,0.26598,0.58007,3.61882,0.40312,0.36146,1.16162,0.006337,0.006337,0.006337
39,2152.47,0.7271,4.90647,0.37459,0.53475,1.21389,0.94716,0.97892,0.9791,0.84294,0.80301,0.7923,0.75117,0.25337,0.58617,3.59216,0.39451,0.36846,1.16247,0.006238,0.006238,0.006238
40,2198.13,0.72074,4.86213,0.37417,0.52798,1.20861,0.95762,0.96862,0.9799,0.85061,0.80891,0.80042,0.77157,0.27629,0.58825,3.56325,0.3906,0.36237,1.16705,0.006139,0.006139,0.006139
41,2243.37,0.72015,4.85698,0.36867,0.53009,1.20886,0.96256,0.96615,0.97922,0.85009,0.81937,0.80708,0.77235,0.26948,0.57172,3.53077,0.39113,0.35694,1.15619,0.00604,0.00604,0.00604
42,2288.51,0.71815,4.81322,0.37026,0.51726,1.20914,0.9535,0.97592,0.97913,0.85554,0.82181,0.81856,0.7885,0.28942,0.56386,3.44887,0.39389,0.35859,1.14882,0.005941,0.005941,0.005941
43,2333.66,0.71752,4.7792,0.37191,0.5163,1.20477,0.9557,0.97416,0.97842,0.85139,0.83291,0.81914,0.77604,0.27588,0.56824,3.44225,0.39334,0.35631,1.14523,0.005842,0.005842,0.005842
44,2379.73,0.71013,4.75447,0.37055,0.51082,1.2,0.9607,0.96594,0.97706,0.85356,0.82678,0.81503,0.78833,0.28777,0.56412,3.43416,0.3858,0.35373,1.14591,0.005743,0.005743,0.005743
45,2424.89,0.70777,4.69875,0.36516,0.51113,1.19919,0.95059,0.98289,0.98026,0.85003,0.82953,0.8258,0.80872,0.29709,0.57653,3.41683,0.38762,0.35464,1.15893,0.005644,0.005644,0.005644
46,2469.91,0.71124,4.70838,0.36732,0.51248,1.19795,0.95357,0.97064,0.98239,0.86161,0.83251,0.82149,0.79482,0.29857,0.5541,3.40647,0.38615,0.34564,1.12894,0.005545,0.005545,0.005545
47,2514.75,0.70008,4.69065,0.36418,0.51094,1.19429,0.9544,0.96947,0.97987,0.85599,0.82151,0.82158,0.78632,0.29944,0.56875,3.36812,0.38609,0.35464,1.14155,0.005446,0.005446,0.005446
48,2559.55,0.70664,4.68257,0.36266,0.50888,1.19366,0.96106,0.97101,0.98144,0.86231,0.84533,0.82619,0.8091,0.30059,0.54922,3.36687,0.38489,0.34713,1.12805,0.005347,0.005347,0.005347
49,2606.06,0.69241,4.5935,0.36196,0.49507,1.18817,0.95899,0.97495,0.98109,0.86284,0.83967,0.82032,0.80149,0.3096,0.54771,3.3334,0.38583,0.3399,1.1236,0.005248,0.005248,0.005248
50,2651.72,0.6931,4.63002,0.36279,0.49664,1.18504,0.95459,0.98062,0.98323,0.86681,0.84435,0.82854,0.80978,0.31516,0.5409,3.3196,0.38469,0.34056,1.11863,0.005149,0.005149,0.005149
51,2696.48,0.69157,4.62503,0.36242,0.49636,1.18979,0.9579,0.97416,0.98475,0.87217,0.84665,0.835,0.81962,0.32226,0.53857,3.30183,0.38634,0.33952,1.11415,0.00505,0.00505,0.00505
52,2740.84,0.68105,4.59549,0.36137,0.49438,1.18286,0.9578,0.97295,0.98365,0.87013,0.85706,0.85202,0.8406,0.33171,0.53527,3.26382,0.3822,0.33185,1.10909,0.004951,0.004951,0.004951
53,2786.4,0.68288,4.55927,0.35887,0.50213,1.17943,0.95396,0.97886,0.98268,0.86621,0.85349,0.84148,0.83111,0.32388,0.53461,3.26562,0.38055,0.3358,1.11822,0.004852,0.004852,0.004852
54,2831.76,0.67339,4.48039,0.35797,0.48073,1.17221,0.96112,0.97358,0.98503,0.86635,0.85205,0.85557,0.83246,0.32497,0.54071,3.24481,0.38015,0.33352,1.1214,0.004753,0.004753,0.004753
55,2876.22,0.6764,4.50203,0.35637,0.48805,1.17969,0.95371,0.98238,0.9845,0.87198,0.85658,0.84172,0.82646,0.33079,0.53166,3.23006,0.37892,0.32803,1.11492,0.004654,0.004654,0.004654
56,2921.02,0.68255,4.46013,0.35387,0.49236,1.18038,0.96142,0.97651,0.98116,0.8648,0.85565,0.84968,0.82054,0.31408,0.5292,3.23334,0.37955,0.33146,1.11255,0.004555,0.004555,0.004555
57,2982.25,0.67582,4.46872,0.35479,0.48781,1.17588,0.9675,0.96829,0.9838,0.87019,0.86234,0.85085,0.83766,0.33576,0.5356,3.19088,0.38065,0.32664,1.11387,0.004456,0.004456,0.004456
58,3064.09,0.66902,4.45877,0.3551,0.47813,1.17701,0.94964,0.98558,0.98313,0.87135,0.86267,0.84842,0.83527,0.33175,0.52324,3.16361,0.37882,0.32092,1.10575,0.004357,0.004357,0.004357
59,3146.98,0.66742,4.43502,0.35337,0.48176,1.1686,0.95219,0.98237,0.98347,0.87123,0.86656,0.85035,0.83591,0.33501,0.52276,3.16805,0.37696,0.32187,1.10116,0.004258,0.004258,0.004258
60,3228,0.66425,4.38214,0.35141,0.47601,1.16804,0.96105,0.97945,0.9823,0.86896,0.87035,0.85672,0.84052,0.3383,0.52685,3.1612,0.37401,0.32116,1.10531,0.004159,0.004159,0.004159
61,3307.29,0.65899,4.39154,0.35143,0.47429,1.16678,0.96562,0.9732,0.98353,0.87316,0.86105,0.85437,0.83637,0.34147,0.52219,3.14506,0.37545,0.32196,1.10508,0.00406,0.00406,0.00406
62,3388.6,0.67526,4.37674,0.35098,0.48088,1.17615,0.95498,0.98708,0.98297,0.8746,0.86219,0.8523,0.83569,0.33604,0.52042,3.14705,0.37593,0.31773,1.10056,0.003961,0.003961,0.003961
63,3468.43,0.65997,4.35905,0.35082,0.47156,1.16638,0.95603,0.98317,0.98342,0.87091,0.86044,0.85436,0.83614,0.34423,0.52709,3.11732,0.37136,0.32107,1.10526,0.003862,0.003862,0.003862
64,3551.21,0.66916,4.34925,0.34692,0.47801,1.17415,0.96051,0.97769,0.98359,0.87627,0.87203,0.85966,0.84434,0.34951,0.51751,3.11552,0.37261,0.31895,1.09804,0.003763,0.003763,0.003763
65,3614.44,0.6611,4.33712,0.34932,0.46902,1.16964,0.96357,0.97835,0.98317,0.8788,0.87244,0.85945,0.84808,0.35591,0.51476,3.09887,0.37211,0.31512,1.09424,0.003664,0.003664,0.003664
66,3661.06,0.6508,4.31333,0.3482,0.47098,1.16091,0.95469,0.98532,0.98357,0.87804,0.8743,0.85144,0.8444,0.35142,0.51221,3.10664,0.37481,0.31219,1.09156,0.003565,0.003565,0.003565
67,3707.3,0.64839,4.27648,0.34659,0.46808,1.15784,0.96944,0.96876,0.98427,0.87851,0.88112,0.86612,0.85225,0.35687,0.50989,3.07711,0.37447,0.31036,1.08617,0.003466,0.003466,0.003466
68,3753.47,0.6472,4.2313,0.34556,0.45314,1.15732,0.9654,0.97886,0.98616,0.88169,0.8794,0.86612,0.86351,0.36514,0.51026,3.06736,0.37034,0.30672,1.08573,0.003367,0.003367,0.003367
69,3798.96,0.6518,4.24972,0.3446,0.46452,1.1623,0.96343,0.98121,0.98465,0.87832,0.88807,0.86612,0.86525,0.36209,0.50848,3.05272,0.37155,0.30933,1.08777,0.003268,0.003268,0.003268
70,3843.99,0.64093,4.17515,0.34398,0.45557,1.15322,0.96089,0.98105,0.98363,0.88141,0.88315,0.86539,0.86313,0.36081,0.50693,3.04619,0.36993,0.30753,1.08423,0.003169,0.003169,0.003169
71,3888.59,0.63902,4.19355,0.34566,0.45831,1.1524,0.96686,0.97592,0.98549,0.88472,0.87523,0.86912,0.86388,0.37246,0.50521,3.03359,0.36982,0.30331,1.08353,0.00307,0.00307,0.00307
72,3933.5,0.63197,4.15691,0.34285,0.45454,1.14573,0.96461,0.97643,0.98328,0.88539,0.88272,0.87066,0.87507,0.3751,0.50532,3.0265,0.37006,0.30759,1.08197,0.002971,0.002971,0.002971
73,3977.84,0.63257,4.11922,0.34359,0.45042,1.14861,0.96727,0.97416,0.98341,0.88435,0.884,0.87259,0.87354,0.37129,0.50391,3.01976,0.36869,0.30504,1.08535,0.002872,0.002872,0.002872
74,4022.41,0.63529,4.10647,0.33995,0.45587,1.15402,0.96748,0.97836,0.98479,0.88468,0.88445,0.87493,0.87147,0.3738,0.50274,3.02034,0.36687,0.30422,1.08439,0.002773,0.002773,0.002773
75,4067.9,0.63145,4.08392,0.34251,0.44447,1.14971,0.96475,0.98036,0.98421,0.88308,0.87841,0.8761,0.86939,0.37295,0.50616,3.0049,0.3669,0.30424,1.0867,0.002674,0.002674,0.002674
76,4112.71,0.63178,4.02953,0.3399,0.44747,1.1514,0.96518,0.97654,0.98313,0.88053,0.88529,0.87009,0.86596,0.37312,0.50513,2.99977,0.36699,0.30324,1.08406,0.002575,0.002575,0.002575
77,4158.05,0.62501,4.09354,0.33876,0.44778,1.14394,0.96255,0.98004,0.98366,0.88094,0.88111,0.87034,0.86235,0.3744,0.502,2.99207,0.36687,0.30194,1.0852,0.002476,0.002476,0.002476
78,4203.88,0.6249,4.02355,0.33726,0.44633,1.14572,0.96448,0.97769,0.98441,0.88692,0.89123,0.86847,0.87371,0.38391,0.50153,2.98092,0.36624,0.29959,1.08441,0.002377,0.002377,0.002377
79,4249.1,0.62405,4.04058,0.33876,0.43858,1.13842,0.96469,0.97864,0.98399,0.8868,0.88147,0.87082,0.87252,0.38079,0.50036,2.9786,0.36557,0.29823,1.0814,0.002278,0.002278,0.002278
80,4293.68,0.61299,3.99261,0.33626,0.43352,1.13757,0.95629,0.98929,0.9845,0.88529,0.88396,0.87258,0.87537,0.38483,0.49768,2.9625,0.36576,0.29725,1.07789,0.002179,0.002179,0.002179
81,4338.44,0.61453,3.95545,0.33712,0.43268,1.13332,0.96421,0.98085,0.98443,0.88546,0.89203,0.86837,0.8756,0.38384,0.49805,2.95758,0.36472,0.29656,1.07914,0.00208,0.00208,0.00208
82,4383.54,0.62627,3.96167,0.33728,0.44017,1.1459,0.96467,0.97811,0.98385,0.88446,0.87784,0.89019,0.88286,0.38313,0.50216,2.95285,0.36447,0.29954,1.08324,0.001981,0.001981,0.001981
83,4428.39,0.61242,3.96117,0.33556,0.42989,1.13529,0.96261,0.9818,0.98447,0.88679,0.87224,0.88595,0.87239,0.38767,0.50075,2.94716,0.36465,0.29889,1.08049,0.001882,0.001882,0.001882
84,4474.38,0.61609,3.90401,0.33328,0.43121,1.13772,0.96562,0.97769,0.98457,0.8876,0.89628,0.87787,0.88298,0.39134,0.49785,2.93075,0.36427,0.29901,1.07788,0.001783,0.001783,0.001783
85,4519.71,0.61148,3.84831,0.33456,0.42696,1.13648,0.96232,0.98004,0.98394,0.88588,0.89069,0.87434,0.87822,0.3918,0.49601,2.92437,0.36408,0.29672,1.07828,0.001684,0.001684,0.001684
86,4565.78,0.60638,3.8622,0.33195,0.42092,1.13129,0.96528,0.9794,0.98404,0.88648,0.8901,0.87509,0.87879,0.39337,0.49617,2.9219,0.3629,0.29668,1.07745,0.001585,0.001585,0.001585
