epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1014.97,0.71558,0.49548,1.13993,0.89915,0.81868,0.91992,0.70825,0.87543,0.76119,1.32793,0.000610789,0.000610789,0.000610789
66,1030.09,0.71046,0.50098,1.13667,0.88867,0.80634,0.8989,0.69224,0.90483,0.91647,1.32612,0.000594286,0.000594286,0.000594286
67,1045.92,0.71423,0.50201,1.14136,0.90468,0.82388,0.92065,0.71274,0.90671,0.77044,1.31395,0.000577782,0.000577782,0.000577782
68,1061.14,0.70745,0.48273,1.13163,0.87209,0.86144,0.92036,0.70603,0.90251,0.80841,1.33912,0.000561279,0.000561279,0.000561279
69,1075.87,0.70417,0.48488,1.13309,0.92023,0.75459,0.89514,0.68823,0.89731,0.89148,1.32484,0.000544776,0.000544776,0.000544776
70,1090.98,0.70197,0.49107,1.13402,0.86449,0.84139,0.92808,0.71895,0.8791,0.77969,1.32482,0.000528272,0.000528272,0.000528272
71,1105.96,0.69489,0.48593,1.12988,0.88847,0.75805,0.88436,0.69001,0.87565,1.04735,1.32792,0.000511769,0.000511769,0.000511769
72,1121.37,0.69958,0.48411,1.12248,0.88727,0.85142,0.90608,0.70381,0.89486,0.60963,1.31988,0.000495266,0.000495266,0.000495266
73,1136.76,0.6857,0.4837,1.12261,0.87039,0.86477,0.91971,0.71189,0.89893,0.68923,1.33564,0.000478762,0.000478762,0.000478762
74,1152.15,0.68624,0.47672,1.12471,0.92471,0.79633,0.90574,0.71194,0.85025,0.8078,1.30208,0.000462259,0.000462259,0.000462259
75,1167.35,0.69248,0.47757,1.12808,0.85581,0.7729,0.87493,0.67946,0.89316,1.08413,1.3264,0.000445756,0.000445756,0.000445756
76,1183.11,0.68118,0.46409,1.12503,0.85892,0.73957,0.84521,0.65964,0.8839,1.27643,1.32775,0.000429253,0.000429253,0.000429253
77,1198.84,0.67765,0.46586,1.1153,0.8529,0.80343,0.86802,0.67402,0.88632,1.01457,1.33557,0.000412749,0.000412749,0.000412749
78,1214.52,0.66529,0.45623,1.10525,0.91521,0.8289,0.91716,0.71088,0.91557,0.80929,1.34769,0.000396246,0.000396246,0.000396246
79,1229.75,0.67254,0.45225,1.1185,0.90037,0.81468,0.9195,0.72166,0.88128,0.76091,1.32849,0.000379743,0.000379743,0.000379743
80,1245.25,0.67205,0.45912,1.12222,0.8775,0.84906,0.91742,0.71786,0.87693,0.72415,1.33412,0.000363239,0.000363239,0.000363239
81,1260.22,0.65332,0.4448,1.10239,0.88056,0.80002,0.91289,0.72022,0.85163,0.91049,1.31102,0.000346736,0.000346736,0.000346736
82,1275.94,0.64879,0.44693,1.10098,0.89577,0.81636,0.91663,0.72053,0.88337,0.75835,1.31765,0.000330233,0.000330233,0.000330233
83,1291.94,0.64762,0.43475,1.09229,0.89425,0.84703,0.92359,0.73244,0.86282,0.765,1.30998,0.000313729,0.000313729,0.000313729
84,1307.68,0.65193,0.44121,1.10834,0.87169,0.81659,0.92192,0.73141,0.8501,0.8931,1.30388,0.000297226,0.000297226,0.000297226
85,1323.22,0.6359,0.43766,1.0925,0.87349,0.76628,0.89164,0.70722,0.86235,0.99659,1.31296,0.000280723,0.000280723,0.000280723
86,1339.06,0.63085,0.42841,1.08716,0.87923,0.78999,0.91515,0.71912,0.86596,0.89867,1.34159,0.00026422,0.00026422,0.00026422
87,1354.59,0.63165,0.4304,1.08915,0.87687,0.84412,0.92283,0.73006,0.85385,0.77624,1.3203,0.000247716,0.000247716,0.000247716
88,1370.66,0.63734,0.4363,1.09626,0.90002,0.86144,0.93613,0.74165,0.84458,0.68671,1.31443,0.000231213,0.000231213,0.000231213
89,1385.96,0.62999,0.41847,1.08258,0.87402,0.83394,0.91709,0.7254,0.85523,0.80547,1.31147,0.00021471,0.00021471,0.00021471
90,1401.74,0.63432,0.42208,1.09587,0.93608,0.80679,0.92223,0.73398,0.8519,0.74271,1.32567,0.000198206,0.000198206,0.000198206
91,1440.57,0.52884,0.29646,1.06937,0.87463,0.82304,0.91605,0.71992,0.86107,0.82665,1.32255,0.000181703,0.000181703,0.000181703
92,1455.85,0.50433,0.28319,1.0314,0.88116,0.82805,0.91886,0.72024,0.86703,0.79929,1.31904,0.0001652,0.0001652,0.0001652
93,1471.53,0.49084,0.2776,1.02175,0.88311,0.79463,0.90981,0.70935,0.86375,0.94148,1.31586,0.000148696,0.000148696,0.000148696
94,1487.71,0.48851,0.27237,1.01238,0.8891,0.7596,0.89333,0.6983,0.86817,0.99602,1.32062,0.000132193,0.000132193,0.000132193
95,1503.41,0.48355,0.282,1.01394,0.89054,0.76461,0.89051,0.69995,0.85472,0.93795,1.31904,0.00011569,0.00011569,0.00011569
96,1519.22,0.48173,0.26743,1.02778,0.89338,0.76937,0.89712,0.70476,0.85875,0.96934,1.30915,9.91865e-05,9.91865e-05,9.91865e-05
97,1534.7,0.47319,0.27172,1.00178,0.90562,0.80095,0.91067,0.71874,0.85112,0.86105,1.3108,8.26832e-05,8.26832e-05,8.26832e-05
98,1550.64,0.4601,0.2573,0.99687,0.89343,0.79777,0.90345,0.71604,0.84778,0.87911,1.31705,6.61799e-05,6.61799e-05,6.61799e-05
99,1566.61,0.45618,0.25508,0.99167,0.91675,0.7596,0.90027,0.71173,0.85496,0.93239,1.32122,4.96766e-05,4.96766e-05,4.96766e-05
100,1582.63,0.45595,0.27003,0.99269,0.89078,0.79132,0.90095,0.71196,0.84726,0.90954,1.32144,3.31733e-05,3.31733e-05,3.31733e-05
